Date,Resting Heart Rate (bpm),Sleep Analysis [In Bed] (hr),Sleep Analysis [Core] (hr),Sleep Analysis [Deep] (hr),Sleep Analysis [REM] (hr),Sleep Analysis [Awake] (hr),Step Count (steps)
2024-01-01 00:00:00,61,7.271059109436141,2.75,1.4416666666666667,0.775,0.016666666666666666,1809
2024-01-02 00:00:00,60,6.6991848511166046,0.0,0.0,0.0,0.0,2190
2024-01-03 00:00:00,60,,,,,,1931
2024-01-04 00:00:00,58,6.6507298758294855,0.0,0.0,0.0,0.0,2260
2024-01-05 00:00:00,72,7.2405005269580425,0.0,0.0,0.0,0.0,3339
2024-01-06 00:00:00,70,,,,,,3641
2024-01-07 00:00:00,66,6.927117170294126,0.0,0.0,0.0,0.0,3906
2024-01-08 00:00:00,72,,,,,,3852
2024-01-09 00:00:00,69,7.449514255291885,0.0,0.0,0.0,0.0,3837
2024-01-10 00:00:00,67,,,,,,4815
2024-01-11 00:00:00,60,7.3109723983208355,0.0,0.0,0.0,0.0,2570
2024-01-12 00:00:00,67,,,,,,3190
2024-01-13 00:00:00,67,,,,,,2801
2024-01-14 00:00:00,68,,,,,,2998
2024-01-15 00:00:00,72,6.3354007236162815,0.0,0.0,0.0,0.0,3643
2024-01-16 00:00:00,66,7.07466806166702,0.0,0.0,0.0,0.0,2981
2024-01-17 00:00:00,70,7.121944444444443,0.0,0.0,0.0,0.0,3378
2024-01-18 00:00:00,68,,,,,,3782
2024-01-19 00:00:00,70,7.419849378897085,0.0,0.0,0.0,0.0,4056
2024-01-20 00:00:00,62,,,,,,731
2024-01-21 00:00:00,59,7.113397633069091,0.0,0.0,0.0,0.0,2076
2024-01-22 00:00:00,71,,,,,,3862
2024-01-23 00:00:00,69,6.653767312765122,0.0,0.0,0.0,0.0,5433
2024-01-24 00:00:00,71,7.700509497225286,0.0,0.0,0.0,0.0,4056
2024-01-25 00:00:00,68,,,,,,6087
2024-01-26 00:00:00,69,7.360941136380036,0.0,0.0,0.0,0.0,8123
2024-01-27 00:00:00,64,,,,,,8082
2024-01-28 00:00:00,63,8.225587156116962,0.0,0.0,0.0,0.0,3304
2024-01-29 00:00:00,61,7.213988605274095,0.0,0.0,0.0,0.0,2502
2024-01-30 00:00:00,78,,,,,,1056
2024-01-31 00:00:00,72,7.558333333333333,4.858333333333333,0.6916666666666667,1.9083333333333334,0.33333333333333337,2008
2024-02-01 00:00:00,73,8.423001926938692,4.800000000000001,1.0583333333333333,1.9083333333333334,0.19999999999999998,1356
2024-02-02 00:00:00,73,8.624504783319104,4.55,1.0416666666666667,1.2583333333333333,0.375,1204
2024-02-03 00:00:00,68,,,,,,455
2024-02-04 00:00:00,64,8.4,4.9750000000000005,1.0916666666666666,2.3333333333333335,0.07500000000000001,1662
2024-02-05 00:00:00,76,,,,,,2814
2024-02-06 00:00:00,65,8.442471318609183,4.866666666666666,0.5416666666666667,2.0166666666666666,0.29166666666666674,1550
2024-02-07 00:00:00,73,9.29243957751327,0.0,0.0,0.0,0.0,738
